Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
71301021,01-Jan-13,31-Dec-14,2,20081,"Wheat flour, white, all-purpose, enriched, bleached",3,TB,10205,301,0,23.438
71301021,01-Jan-13,31-Dec-14,3,11352,"Potatoes, flesh and skin, raw",1065,GM,0,3301,3,1065
71301021,01-Jan-13,31-Dec-14,4,11100000,"Milk, NFS",1.5,C,10205,2153,0,366
71301021,01-Jan-13,31-Dec-14,5,2047,"Salt, table",1.5,TS,10205,0,5,9
71301120,01-Jan-13,31-Dec-14,1,1009,"Cheese, cheddar",1,CP,10159,1,0,113
71301120,01-Jan-13,31-Dec-14,2,20081,"Wheat flour, white, all-purpose, enriched, bleached",3,TB,10205,301,0,23.438
71301120,01-Jan-13,31-Dec-14,3,11352,"Potatoes, flesh and skin, raw",5,,61252,3302,0,1065
71301120,01-Jan-13,31-Dec-14,4,11100000,"Milk, NFS",1.5,C,10205,2153,0,366
71301120,01-Jan-13,31-Dec-14,5,81100000,"Table fat, NFS",3,TB,10205,0,4,42.563
71301120,01-Jan-13,31-Dec-14,6,2047,"Salt, table",1.5,TS,10205,0,5,9
71301120,01-Jan-13,31-Dec-14,7,10153,"Pork, cured, ham, whole, separable lean only, roasted",1,C,10037,1606,0,140
71305010,01-Jan-13,31-Dec-14,1,20081,"Wheat flour, white, all-purpose, enriched, bleached",2,TB,10205,301,0,15.625
71305010,01-Jan-13,31-Dec-14,2,11352,"Potatoes, flesh and skin, raw",639,GM,0,3302,3,639
71305010,01-Jan-13,31-Dec-14,3,11100000,"Milk, NFS",1.25,C,10205,2153,0,305
71305010,01-Jan-13,31-Dec-14,4,81102010,"Margarine, stick, salted",1.5,TB,22000,0,4,21.15
71305010,01-Jan-13,31-Dec-14,5,2047,"Salt, table",1,TS,10205,0,5,6
71305011,01-Jan-13,31-Dec-14,1,20081,"Wheat flour, white, all-purpose, enriched, bleached",2,TB,10205,301,0,15.625
71305011,01-Jan-13,31-Dec-14,2,11352,"Potatoes, flesh and skin, raw",639,GM,0,3302,3,639
